"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","imageTrial","sequence","nbackTrial","firstTrial","parity","magnitude","gridTrial"
"true","false","[]","[]","[]","preload","0","16","0.0-0.0","","","","","","","","","",""
"","","","","","html-keyboard-response","1","175501","0.0-1.0","175488","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","2","177503","0.0-2.0","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","3","183510","0.0-3.0","null","img/rural_eve_young_black_woman_1.png","null","true","0","","","","",""
"","","","","","html-keyboard-response","4","185517","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","html-mouse-response","5","186472","0.0-5.0","","<div style=""font-size:60px;"">24</div>","{""key"":null}","","0","true","true","even","3",""
"","","","","","html-keyboard-response","6","186524","0.0-6.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","7","187478","0.0-7.0","","<div style=""font-size:60px;"">26</div>","{""key"":null}","","0","true","false","even","3",""
"","","","","","html-keyboard-response","8","187534","0.0-8.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","9","188491","0.0-9.0","","<div style=""font-size:60px;"">28</div>","{""key"":null}","","0","true","false","even","3",""
"","","","","","html-keyboard-response","10","188543","0.0-10.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","11","189499","0.0-11.0","","<div style=""font-size:60px;"">26</div>","{""key"":null}","","0","true","false","even","3",""
"","","","","","html-keyboard-response","12","189553","0.0-12.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","13","190510","0.0-13.0","","<div style=""font-size:60px;"">24</div>","{""key"":null}","","0","true","false","even","3",""
"","","","","","html-keyboard-response","14","190565","0.0-14.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","15","191522","0.0-15.0","","<div style=""font-size:60px;"">28</div>","{""key"":null}","","0","true","false","even","3",""
"","","","","","html-keyboard-response","16","191579","0.0-16.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-keyboard-response","17","193586","0.0-17.0","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","18","199594","0.0-18.0","null","img/rural_eve_old_white_woman_1.png","null","true","1","","","","",""
"","","","","","html-keyboard-response","19","201596","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","html-mouse-response","20","202553","0.0-20.0","","<div style=""font-size:60px;"">32</div>","{""key"":null}","","1","true","true","even","4",""
"","","","","","html-keyboard-response","21","202608","0.0-21.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
"","","","","","html-mouse-response","22","203562","0.0-22.0","","<div style=""font-size:60px;"">30</div>","{""key"":null}","","1","true","false","even","4",""
"","","","","","html-keyboard-response","23","203617","0.0-23.0","null","<div style=""font-size:60px;""></div>","null","","","","","","",""
