"","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","imageTrial","sequence","nbackTrial","firstTrial","gridTrial","trueDiff","nbackAccuracy"
"1",NA,NA,NA,NA,NA,"html-mouse-response",5,5809,"0.0-5.0",NA,80,"""lesser""",NA,0,TRUE,FALSE,NA,"""greater""",FALSE
"2",NA,NA,NA,NA,NA,"html-mouse-response",7,6868,"0.0-7.0",NA,78,"""lesser""",NA,0,TRUE,FALSE,NA,"""lesser""",FALSE
"3",NA,NA,NA,NA,NA,"html-mouse-response",9,7928,"0.0-9.0",NA,82,"""greater""",NA,0,TRUE,FALSE,NA,"""greater""",FALSE
"4",NA,NA,NA,NA,NA,"html-mouse-response",11,8991,"0.0-11.0",NA,78,"""lesser""",NA,0,TRUE,FALSE,NA,"""lesser""",FALSE
"5",NA,NA,NA,NA,NA,"html-mouse-response",13,10048,"0.0-13.0",NA,82,"""greater""",NA,0,TRUE,FALSE,NA,"""greater""",FALSE
"6",NA,NA,NA,NA,NA,"html-mouse-response",19,15190,"0.0-19.0",NA,75,"""lesser""",NA,1,TRUE,FALSE,NA,"""lesser""",FALSE
"7",NA,NA,NA,NA,NA,"html-mouse-response",21,16245,"0.0-21.0",NA,77,"""lesser""",NA,1,TRUE,FALSE,NA,"""greater""",FALSE
"8",NA,NA,NA,NA,NA,"html-mouse-response",23,17302,"0.0-23.0",NA,73,"""greater""",NA,1,TRUE,FALSE,NA,"""lesser""",FALSE
"9",NA,NA,NA,NA,NA,"html-mouse-response",25,18360,"0.0-25.0",NA,77,"""lesser""",NA,1,TRUE,FALSE,NA,"""greater""",FALSE
"10",NA,NA,NA,NA,NA,"html-mouse-response",27,19417,"0.0-27.0",NA,73,"""lesser""",NA,1,TRUE,FALSE,NA,"""lesser""",FALSE
"11",NA,NA,NA,NA,NA,"html-mouse-response",33,24571,"0.0-33.0",NA,76,"""lesser""",NA,2,TRUE,FALSE,NA,"""greater""",FALSE
